year,month,wave_height,time
1980,1,2.7218487355075447,1980-01-01T01:00:00Z
1980,2,1.9463636317036372,1980-02-01T00:00:00Z
1980,3,2.54999999234737,1980-03-01T00:00:00Z
1980,4,1.6892307715756554,1980-04-01T00:00:00Z
1980,5,1.0574879251456475,1980-05-01T00:00:00Z
1980,12,2.1155172410025,1980-12-02T15:00:00Z
1981,1,2.0591489287132907,1981-01-01T00:00:00Z
1981,3,1.9146757708678066,1981-03-19T13:00:00Z
1981,4,1.7078762296718188,1981-04-01T00:00:00Z
1981,5,1.368113975997211,1981-05-01T00:00:00Z
1981,6,0.8220797735996062,1981-06-01T00:00:00Z
1981,7,0.5662618140902438,1981-07-01T00:00:00Z
1981,8,0.5424119291024468,1981-08-01T00:00:00Z
1981,9,1.6226950337700803,1981-09-01T00:00:00Z
1981,10,1.5038888880362113,1981-10-01T00:00:00Z
1981,11,2.042638886719942,1981-11-01T00:00:00Z
1981,12,2.263574346798342,1981-12-01T00:00:00Z
1982,1,2.530581863549147,1982-01-01T00:00:00Z
1982,2,2.1853949317455994,1982-02-01T00:00:00Z
1982,3,1.6550135475590955,1982-03-01T00:00:00Z
1982,4,2.045606690803165,1982-04-01T00:00:00Z
1982,5,1.0940620794630893,1982-05-01T00:00:00Z
1982,6,1.44331476403644,1982-06-01T00:00:00Z
1982,7,0.8456521768770788,1982-07-01T00:00:00Z
1982,8,0.9583783801141624,1982-08-01T00:00:00Z
1982,9,1.0516039096078786,1982-09-01T00:00:00Z
1982,10,1.730866811240197,1982-10-01T00:00:00Z
1982,11,1.9134722174869616,1982-11-01T00:00:00Z
1982,12,1.9860054297048773,1982-12-01T00:00:00Z
1983,1,2.136005433519251,1983-01-01T01:00:00Z
1983,2,2.651424286336911,1983-02-01T00:00:00Z
1983,3,2.3382795654317383,1983-03-01T00:00:00Z
1983,4,2.0408104175510355,1983-04-01T19:00:00Z
1983,5,1.4873315356169756,1983-05-01T00:00:00Z
1983,6,0.89902642957856,1983-06-01T00:00:00Z
1983,7,1.030913981018207,1983-07-01T00:00:00Z
1983,8,1.0345895043693345,1983-08-01T00:00:00Z
1983,9,1.0791899441174289,1983-09-01T00:00:00Z
1983,10,1.7468200238051075,1983-10-01T00:00:00Z
1983,11,2.3725988669163094,1983-11-01T00:00:00Z
1983,12,2.5463607530050654,1983-12-01T00:00:00Z
1984,1,2.0433198400998083,1984-01-01T00:00:00Z
1984,2,2.3451659405902356,1984-02-01T00:00:00Z
1984,3,3.035357618138858,1984-03-01T00:00:00Z
1984,4,2.2659693119665563,1984-04-01T00:00:00Z
1984,5,1.4802968961346328,1984-05-01T00:00:00Z
1984,6,1.3127955491751713,1984-06-01T00:00:00Z
1984,7,1.2592140935704639,1984-07-01T00:00:00Z
1984,8,0.9329744281791251,1984-08-01T00:00:00Z
1984,9,1.1342857054301672,1984-09-01T00:00:00Z
1984,10,1.5788934393862228,1984-10-11T15:00:00Z
1984,11,1.9704323527370682,1984-11-01T00:00:00Z
1984,12,2.0915760844136067,1984-12-01T00:00:00Z
1985,1,2.4358695623586373,1985-01-01T00:00:00Z
1985,2,2.286717554858621,1985-02-01T00:00:00Z
1985,3,2.1009497962376487,1985-03-01T00:00:00Z
1985,4,1.4316526628842858,1985-04-01T00:00:00Z
1985,5,1.4105335152752572,1985-05-01T00:00:00Z
1985,6,1.3649513250597667,1985-06-01T00:00:00Z
1985,7,1.061800820806343,1985-07-01T00:00:00Z
1985,8,0.9816076301586398,1985-08-01T00:00:00Z
1985,9,1.2790730386721283,1985-09-01T00:00:00Z
1985,10,1.4747625483829254,1985-10-01T00:00:00Z
1985,11,2.0159440533264554,1985-11-01T00:00:00Z
1985,12,2.1009421275971243,1985-12-01T00:00:00Z
1986,1,2.6919246251778843,1986-01-01T00:00:00Z
1986,2,1.9140457955025523,1986-02-01T00:00:00Z
1986,3,1.9515100662540263,1986-03-01T00:00:00Z
1986,4,1.7511627904204432,1986-04-01T00:00:00Z
1986,5,0.929487176430531,1986-05-28T17:00:00Z
1986,6,1.321769662285119,1986-06-01T00:00:00Z
1986,7,0.9631205692570254,1986-07-01T00:00:00Z
1986,8,1.1810810818462762,1986-08-01T00:00:00Z
1986,9,1.1910863521205346,1986-09-01T00:00:00Z
1986,10,1.5470189695274277,1986-10-01T00:00:00Z
1986,11,1.9497907900743734,1986-11-01T00:00:00Z
1986,12,2.3456258392350033,1986-12-01T00:00:00Z
1987,1,2.643283577754669,1987-01-01T00:00:00Z
1987,2,2.2748502972061773,1987-02-01T00:00:00Z
1987,3,1.9867208649310968,1987-03-01T00:00:00Z
1987,4,2.0061366820352,1987-04-01T00:00:00Z
1987,5,1.1566216186091718,1987-05-01T00:00:00Z
1987,6,1.1492350472445623,1987-06-01T00:00:00Z
