Species,area_m2,perim_m,Year
Urchin barrens,12025.527,1627.936,1982
Urchin barrens,1906.656,376.482,1982
Urchin barrens,3785.931,525.681,1982
Urchin barrens,2344.095,329.206,1982
Urchin barrens,283.903,87.156,1982
Urchin barrens,146.148,46.45,1982
Urchin barrens,243.172,90.442,1982
Urchin barrens,2061.331,400.856,1982
Urchin barrens,318.061,152.635,1982
Alaria esculenta,2963.228,678.746,1982
Alaria esculenta,876.804,333.635,1982
Alaria esculenta,5709.368,1198.503,1982
Alaria esculenta,57.639,50.05,1982
Laminaria digitata,165.455,60.125,1982
Laminaria digitata and Saccharina latissima mix,2054.311,514.021,1982
Laminaria digitata and Saccharina latissima mix,3426.939,458.238,1982
Saccharina latissima,1491.052,258.273,1982
Saccharina latissima,900.153,238.201,1982
Saccharina latissima,2329.799,335.892,1982
Saccharina latissima,1118.658,220.825,1982
Saccharina latissima and Saccharina longicruris mix,782.729,184.057,1982
Saccharina latissima and Saccharina longicruris mix,679.403,223.17,1982
Saccharina longicruris,165.861,61.031,1982
Saccharina latissima,578.814,151.609,1982
Laminaria digitata,484.099,153.931,1982
Saccharina longicruris,64.173,41.258,1982
Reds only,635.428,185.67,1982
Alaria esculenta and Laminaria digitata mix,1069.58,212.353,1982
Alaria esculenta and Laminaria digitata mix,1716.254,318.665,1982
Laminaria digitata,1197.175,189.491,1982
Laminaria digitata,51.144,60.385,1982
Laminaria digitata,1146.328,285.077,1982
Laminaria digitata and Saccharina longicruris mix,513.386,183.644,1982
Saccharina longicruris,227.435,113.73,1982
Saccharina latissima and Saccharina longicruris mix,1647.322,230.597,1982
Saccorhiza dermatodea,191.28,51.862,1982
Saccharina latissima and Saccharina longicruris mix,1469.797,254.267,1982
Halosiphon tomentosus,66.09,33.682,1982
Saccharina latissima and Saccharina longicruris mix,2525.426,420.622,1982
Laminaria digitata and Saccharina latissima mix,967.88,200.949,1982
Laminaria digitata and Saccharina latissima mix,547.948,152.597,1982
Saccorhiza dermatodea,396.359,118.367,1982
Urchin barrens,6097.834,1015.12,1982
Urchin barrens,1002.239,249.042,1983
Saccharina latissima and Urchin barrens mix,7392.553,1035.033,1983
Saccharina latissima and Urchin barrens mix,8464.812,1210.773,1983
Urchin barrens,190.578,69.826,1983
Urchin barrens,134.467,61.774,1983
Saccharina latissima,1415.963,344.534,1983
Saccharina latissima,1364.733,257.024,1983
Saccharina latissima,2815.366,342.816,1983
Saccharina latissima and Halosiphon tomentosus mix,3141.818,470.862,1983
"Saccharina latissima, Halosiphon tomentosus and Urchin barrens mix",667.472,142.541,1983
Laminaria digitata and Urchin barrens mix,2384.924,473.367,1983
Saccharina latissima,551.557,151.252,1983
Saccharina latissima and Laminaria digitata mix,1389.94,481.704,1983
Saccharina latissima and Laminaria digitata mix,1130.011,229.692,1983
Gigartinales,296.327,106.69,1983
Saccharina latissima and Gigartinales mix,801.958,160.138,1983
Laminaria digitata,1134.653,330.007,1983
Laminaria digitata and Urchin barrens mix,1137.681,265.24,1983
Saccharina latissima and Urchin barrens mix,445.377,177.595,1983
Urchin barrens,710.331,157.278,1983
Saccharina latissima and Gigartinales mix,935.236,184.525,1983
Saccharina latissima and Gigartinales mix,1034.563,182.462,1983
Gigartinales and Urchin barrens mix,297.802,77.963,1983
Laminaria digitata and Urchin barrens mix,1488.041,284.481,1983
"Alaria esculenta, Laminaria digitata and Gigartinales mix",2499.142,592.731,1983
Laminaria digitata,1142.655,222.58,1983
Saccharina latissima and Gigartinales mix,389.85,131.159,1983
"Alaria esculenta, Laminaria digitata and Gigartinales mix",754.307,261.462,1983
"Laminaria digitata, Gigartinales and Urchin barrens mix",255.984,102.932,1983
"Saccharina latissima, Gigartinales and Urchin barrens mix",623.016,213.88,1983
Saccharina latissima and Gigartinales mix,425.618,156.49,1983
"Saccharina latissima, Alaria esculenta and Gigartinales mix",767.523,238.693,1983
"Saccharina latissima, Laminaria digitata, Alaria esculenta and Gigartinales mix",1053.904,328.586,1983
Gigartinales and Urchin barrens mix,181.009,71.044,1983
Saccharina latissima and Laminaria digitata mix,7347.188,1280.594,1983
Halosiphon tomentosus,2313.598,322.976,1983
Saccharina latissima,1939.904,365.442,1983
Saccharina latissima and Laminaria digitata mix,888.763,146.071,1983
Saccharina latissima and Urchin barrens mix,524.777,144.804,1983
Saccharina latissima,3278.236,479.987,1983
Laminaria digitata and Urchin barrens mix,380.853,122.469,1983
Saccorhiza dermatodea and Urchin barrens mix,719.746,223.731,1983
Saccharina latissima,1570.921,302.88,1983
Saccharina latissima,980.083,205.308,1983
"Saccharina latissima, Laminaria digitata and Saccorhiza dermatodea mix",826.122,197.348,1983
Halosiphon tomentosus and Urchin barrens mix,874.438,190.588,1983
Saccharina latissima,323.782,136.368,1983
Urchin barrens,78.928,37.466,1983
Saccharina latissima and Laminaria digitata mix,379.436,149.895,1983
Saccharina latissima and Laminaria digitata mix,1704.801,379.278,1983
