pkuid,Species,1987_area,area_m2,perim_m,Year
"1",Urchin barrens,1479.016,1479.016,257.152,1987.000
"2",Urchin barrens,1894.284,1894.284,357.520,1987.000
"3",Urchin barrens,745.906,745.906,185.916,1987.000
"4",Urchin barrens,1756.938,1756.938,343.092,1987.000
"5",Urchin barrens,729.430,729.430,115.699,1987.000
"6",Urchin barrens,138.896,138.896,53.182,1987.000
"7",Urchin barrens,421.496,421.496,111.167,1987.000
"8",Urchin barrens,747.495,747.495,141.812,1987.000
"9",Urchin barrens,1067.901,1067.901,390.535,1987.000
"10",Urchin barrens,260.657,260.657,122.109,1987.000
"11",Mixed Gigartinales + sparse Saccharina,4149.461,4149.461,760.895,1987.000
"12",Mixed Gigartinales + sparse Saccharina,756.221,756.221,252.240,1987.000
"13","Saccharina latissima, Laminaria digitata and Halosiphon tomentosus",596.705,596.705,174.745,1987.000
"14",Saccharina latissima and Laminaria digitata,1914.350,1914.350,322.533,1987.000
"15",Saccharina latissima and Laminaria digitata,3102.867,3102.867,420.574,1987.000
"16",Mixed Gigartinales + sparse Saccharina,1206.384,1206.384,161.074,1987.000
"17",Saccharina latissima,2380.174,2380.174,400.883,1987.000
"18",Saccharina latissima and Laminaria digitata,2161.224,2161.224,498.905,1987.000
"19",Saccharina latissima,2331.965,2331.965,289.550,1987.000
"20",Saccharina latissima,927.183,927.183,213.726,1987.000
"21",Saccharina latissima and Codium fragile,828.100,828.100,212.483,1987.000
"22",Saccharina latissima and Laminaria digitata,472.857,472.857,134.876,1987.000
"23",Saccharina latissima and Laminaria digitata,1069.839,1069.839,174.741,1987.000
"24",Saccharina latissima,388.567,388.567,89.600,1987.000
"25",Saccharina latissima and Urchin barrens,484.803,484.803,133.608,1987.000
"26","Saccharina latissima, Laminaria digitata and Urchin barrens",279.300,279.300,114.611,1987.000
"27",Saccharina latissima and Urchin barrens,501.534,501.534,131.636,1987.000
"28","Saccharina latissima, Laminaria digitata and Urchin barrens",300.207,300.207,81.287,1987.000
"29",Saccharina latissima and Urchin barrens,1302.718,1302.718,169.096,1987.000
"30",Saccharina latissima and Urchin barrens,452.775,452.775,121.415,1987.000
"31",Saccharina latissima and Urchin barrens,3057.008,3057.008,379.892,1987.000
"32","Saccharina latissima, Saccorhiza dermatodea and Urchin barrens",1166.236,1166.236,189.367,1987.000
"33",Saccharina latissima and Halosiphon tomentosus,1647.735,1647.735,270.808,1987.000
"34",Saccharina latissima,1355.697,1355.697,208.561,1987.000
"35",Saccharina latissima,3910.961,3910.961,502.674,1987.000
"36",Saccharina latissima,511.436,511.436,158.316,1987.000
"37",Gigartinales and Urchin barrens,1975.648,1975.648,347.181,1987.000
"38",Mixed Gigartinales + sparse Saccharina and Urchin barrens,1726.261,1726.261,316.225,1987.000
"39",Laminaria digitata and Urchin barrens,3653.022,3653.022,731.964,1987.000
"40","Gigartinales, Laminaria digitata and Urchin barrens",925.467,925.467,217.746,1987.000
"41",Laminaria digitata,1213.482,1213.482,355.567,1987.000
"42",Gigartinales and Laminaria digitata,533.910,533.910,129.064,1987.000
"43",Laminaria digitata,1259.032,1259.032,260.392,1987.000
"44",Laminaria digitata and Mixed Gigartinales + sparse Saccharina,1198.702,1198.702,439.209,1987.000
"45",Saccharina latissima and Gigartinales,2172.554,2172.554,467.355,1987.000
"46",Laminaria digitata,82.896,82.896,48.817,1987.000
"47",Laminaria digitata and Mixed Gigartinales + sparse Saccharina,237.031,237.031,106.566,1987.000
"50",Urchin barrens,10.132,10.132,17.246,1987.000
"51",Gigartinales and Saccorhiza dermatodea,322.167,322.167,120.663,1987.000
"52",Laminaria digitata and Mixed Gigartinales + sparse Saccharina,52.274,52.274,32.985,1987.000
