pkuid,Species,area_m2,perim_m,Year
"1",Saccharina latissima,7453.954,1110.897,"1990"
"2",Saccharina latissima,10876.459,1474.765,"1990"
"3",Saccorhiza dermatodea,55.226,40.944,"1990"
"4",Urchin barrens,5821.869,683.383,"1990"
"5",Urchin barrens,2108.654,288.050,"1990"
"6",Saccharina latissima and Urchin barrens,2627.114,421.559,"1990"
"7",Urchin barrens,1100.693,203.518,"1990"
"8",Laminaria digitata and Urchin barrens,912.541,166.671,"1990"
"9","Laminaria digitata, Alaria esculenta and Urchin barrens",323.435,102.888,"1990"
"10",Laminaria digitata and Urchin barrens,1314.605,281.161,"1990"
"11",Urchin barrens,948.277,234.342,"1990"
"12",Saccharina latissima,3062.118,506.803,"1990"
"13",Urchin barrens,2376.360,467.626,"1990"
"14",Saccharina latissima,3887.909,609.377,"1990"
"15",Urchin barrens,1414.089,176.108,"1990"
"16",Saccharina latissima,1376.534,314.457,"1990"
"17",Urchin barrens,1015.942,271.460,"1990"
"18",Saccharina latissima and Laminaria digitata,7510.065,951.428,"1990"
"19",Saccharina latissima,1056.156,207.599,"1990"
"20",Urchin barrens,162.657,66.942,"1990"
"21",Saccharina latissima and Urchin barrens,398.904,128.665,"1990"
"22",Saccharina latissima and Laminaria digitata,2069.932,639.835,"1990"
"23",Laminaria digitata and Urchin barrens,1145.590,290.184,"1990"
"24",Alaria esculenta and Urchin barrens,263.926,133.878,"1990"
"25",Alaria esculenta,846.231,311.927,"1990"
"26","Saccharina latissima, Alaria esculenta and Gigartinales",3081.933,706.661,"1990"
"27",Alaria esculenta and Urchin barrens,991.100,280.296,"1990"
"28","Alaria esculenta, Gigartinales and Urchin barrens",1040.556,247.304,"1990"
"29",Saccharina latissima and Urchin barrens,1984.957,430.130,"1990"
"30",Gigartinales and Urchin barrens,3065.750,513.205,"1990"
"31",Saccharina latissima,2263.812,518.974,"1990"
"32","Saccharina latissima, Alaria esculenta and Gigartinales",548.246,132.960,"1990"
"33",Saccharina latissima and Alaria esculenta,498.862,163.028,"1990"
"34",Alaria esculenta,132.626,73.124,"1990"
"35",Gigartinales and Urchin barrens,2309.602,529.662,"1990"
